type w q nm qr ed no co qe eqe qre eqre rq rqr dq dqr
fw 75 0.32016722624 3 0.486033519553 179 42 0.101473922902 0.249063391567 0.00117977544415 -0.0657752010969 0.00473438100943 201 226 0.071103834673 0.5518087206499
fw 76 0.283666846944 3 0.348837209302 43 22 0.0888429752066 0.338969340053 0.00305571929743 0.225856535456 0.007820484446 164 187 -0.055302493109 0.122980673846
fw 77 0.198602526203 3 0.245901639344 61 24 0.105902777778 0.296644735835 0.00230994955799 0.122598031085 0.00704423101739 81 153 -0.098042209632 0.123303608259
fw 78 0.274318237156 3 0.6 225 44 0.116219008264 0.223716138126 0.00102220116235 -0.117318571963 0.004574883354 151 256 0.05060209903 0.717318571963
fw 79 0.309073724008 3 0.478260869565 23 14 0.117346938776 0.338901944468 0.00410741695687 0.317848830121 0.0105982900057 188 224 -0.02982822046 0.160412039444
fw 80 0.348193872885 3 0.487804878049 82 29 0.0975029726516 0.297204893337 0.00190546366647 0.0843249845594 0.00615551709433 218 228 0.050988979548 0.4034798934896
fw 81 0.368827160494 2 0.888888888889 36 22 0.0743801652893 0.375559679902 0.00335778030749 0.291076363149 0.00833164371359 237 288.5 -0.00673251940800002 0.59781252574
fw 82 0.337939342404 3 0.644970414201 169 41 0.100535395598 0.252695965287 0.00122403727174 -0.0527828220465 0.00483445014263 213 263 0.085243377117 0.6977532362475
fw 83 0.337683090937 3 0.544483985765 281 53 0.100035599858 0.226514784436 0.000946447217129 -0.137954012041 0.00435804647647 212 248 0.111168306501 0.682437997806
fw 84 0.396193771626 3 0.529411764706 17 13 0.100591715976 0.360985230962 0.0051933205932 0.390213069056 0.0126790736062 257 240 0.035208540664 0.13919869565
fw 85 0.356111111111 3 0.533333333333 60 26 0.0887573964497 0.329800114665 0.00245251131805 0.163815369037 0.00654389644178 223 242 0.026310996446 0.369517964296
fw 86 0.381246281975 3 0.78313253012 83 31 0.0863683662851 0.314091033626 0.00191579926005 0.102894577695 0.00599144527684 245 279 0.067155248349 0.680237952425
fw 87 0.195967078189 3 0.176470588235 136 32 0.1328125 0.233288914294 0.00136192836742 -0.050229033912 0.00556790143507 76 123 -0.037321836105 0.226699622147
fw 88 0.393424036281 3 0.571428571429 42 27 0.0576131687243 0.400032358588 0.00313998234692 0.306927058619 0.00750870007986 254 253 -0.00660832230700004 0.26450151281
fw 89 0.483343248067 4 0.512195121951 41 27 0.0562414266118 0.430701281985 0.00322077545619 0.348780916453 0.0078393147656 282 234 0.052641966082 0.163414205498
fw 90 0.25244140625 3 0.1875 32 17 0.110726643599 0.338697093827 0.00364469649544 0.269265399333 0.00995295321344 129 127 -0.086255687577 -0.081765399333
fw 91 0.235207100592 4 0 26 15 0.115555555556 0.337629822051 0.00383696194175 0.297584842788 0.00993068721065 111 62.5 -0.102422721459 -0.297584842788
fw 92 0.449444444444 4 0.466666666667 30 19 0.0831024930748 0.394658902877 0.00377482954667 0.349464356697 0.00918977560062 277 222 0.054785541567 0.11720230997
fw 93 0.18 2 0.428571428571 21 10 0.21 0.242150776606 0.00421504734852 0.23066603257 0.0126732738715 61.5 212.5 -0.062150776606 0.197905396001
fw 94 0.413243320885 4 0.627118644068 59 28 0.0752551020408 0.36340017957 0.00260961711507 0.20928760849 0.00676614969221 264 259 0.049843141315 0.417831035578
fw 95 0.322359396433 3 0.333333333333 27 15 0.12 0.330003728914 0.00375136021383 0.283551086438 0.00977317203585 202 183 -0.00764433248099999 0.049782246895
fw 96 0.28549382716 3 0.333333333333 18 12 0.125 0.338687292645 0.00497610172794 0.352833269498 0.0121506934402 167 183 -0.053193465485 -0.019499936165
fw 97 0.407955292571 3 0.487179487179 39 25 0.0624 0.418576181689 0.00330556147924 0.339568516965 0.00748309139241 262 227 -0.010620889118 0.147610970214
fw 98 0.441527777778 5 0.366666666667 60 34 0.0519031141869 0.419568075807 0.00264770428823 0.283164561916 0.00631923315468 274 192 0.021959701971 0.083502104751
fw 99 0.360618014464 3 0.538461538462 39 22 0.0805785123967 0.381270867395 0.00328183631417 0.286919536065 0.00830269471545 228 244 -0.020652852931 0.251542002397
fw 100 0.683881715952 6 0.795918367347 49 45 0.0241975308642 0.571987730277 0.00328296085559 0.523830112764 0.00675397550178 289 281 0.111893985675 0.272088254583
fw 101 0.424081632653 3 0.542857142857 35 22 0.0723140495868 0.39759345613 0.0035598700503 0.328025641301 0.00881546978477 271 246.5 0.026488176523 0.214831501556
fw 102 0.502162629758 4 0.588235294118 34 24 0.0590277777778 0.446211720564 0.00366094066819 0.395269102419 0.00848128674806 283 254 0.055950909194 0.192966191699
fw 103 0.183662851197 4 0.1875 32 14 0.163265306122 0.276194642364 0.00349762392843 0.201164283479 0.0100510876945 67 127 -0.092531791167 -0.013664283479
fw 104 0.103806228374 2 0.294117647059 51 14 0.260204081633 0.191439928809 0.00232013025777 0.0617249185261 0.0089508348165 8 169 -0.087633700435 0.2323927285329
fw 105 0.10650887574 2 0.307692307692 52 14 0.265306122449 0.190905895694 0.00231574727586 0.0595703340159 0.00872209093289 9 176.5 -0.084397019954 0.2481219736761
fw 106 0.399038461538 5 0.346153846154 52 33 0.0477502295684 0.435859410526 0.00276424236427 0.323413899569 0.00645075372333 258 186 -0.036820948988 0.022739946585
fw 107 0.163923182442 2 0.333333333333 27 12 0.1875 0.257237993903 0.00361671134663 0.208141785274 0.0106322633138 46 183 -0.093314811461 0.125191548059
fw 108 0.147762345679 2 0.388888888889 36 13 0.213017751479 0.231535927311 0.00302412207809 0.138362388988 0.00958400198306 37 200 -0.083773581632 0.250526499901
fw 109 0.306440443213 5 0.0526315789474 38 22 0.0785123966942 0.379382491772 0.00331958540315 0.291718473252 0.00808300072256 186 79.5 -0.072942048559 -0.2390868943046
fw 110 0.416251697601 3 0.829787234043 47 25 0.0752 0.379207465694 0.00289149003966 0.262946670755 0.00738224509387 266 286 0.037044231907 0.566840563288
fw 111 0.208476454294 5 -0.136842105263 95 31 0.098855359001 0.289817359352 0.00179912075993 0.0636308947425 0.00590428083498 91 16 -0.081340905058 -0.2004730000055
fw 112 0.3576 5 0.146666666667 75 37 0.054784514244 0.392404309466 0.00238082645409 0.21964658275 0.00590870116642 224 113 -0.034804309466 -0.072979916083
fw 113 0.324704142012 2 0.769230769231 26 13 0.153846153846 0.291589337888 0.00387179867599 0.247143038914 0.0106217611305 204 277 0.033114804124 0.522087730317
fw 114 0.304444444444 3 0.333333333333 15 11 0.123966942149 0.337574773065 0.0054535747123 0.389473701341 0.0133419107971 184 183 -0.033130328621 -0.056140368008
fw 115 0.266087278107 3 0.230769230769 52 19 0.14404432133 0.277208021405 0.00251722352196 0.128475617315 0.00803177521559 144 146.5 -0.011120743298 0.102293613454
fw 116 0.199380165289 3 0.0909090909091 44 16 0.171875 0.255297237508 0.0027213558322 0.124565288166 0.00874331439012 83 94.5 -0.055917072219 -0.0336561972569
fw 117 0.325996430696 4 0.219512195122 41 21 0.092970521542 0.358466471824 0.0031320154616 0.253343940132 0.00829702767127 205 142 -0.032470041128 -0.03383174501
fw 118 0.173008323424 2 0.51724137931 29 12 0.201388888889 0.242496154317 0.00332113839508 0.177757924101 0.0103076285477 53 235.5 -0.069487830893 0.339483455209
fw 119 0.18 2 0.4 20 11 0.165289256198 0.280437879812 0.00441957501765 0.281164857789 0.0117297377953 61.5 205.5 -0.100437879812 0.118835142211
fw 120 0.160034602076 3 0.147058823529 68 19 0.18836565097 0.223813768197 0.00205969727453 0.0300490797269 0.00764937419101 44 114 -0.063779166121 0.1170097438021
fw 121 0.3822 4 0.32 50 27 0.0685871056241 0.396078616205 0.00293088443612 0.277583901631 0.00715395684561 247 179 -0.013878616205 0.042416098369
